ONSConstID,ConstituencyName,RegionID,RegionName,CountryID,CountryName,DateOfThisUpdate,DateOfDataset,WageMedianConst,WageMedianRegion,WageMedianCountry
E14000747,Heywood and Middleton,E15000002,North West,K02000001,UK,11/1/23,4/1/23,664,649,682
E14000758,Hyndburn,E15000002,North West,K02000001,UK,11/1/23,4/1/23,611,649,682
E14000775,Knowsley,E15000002,North West,K02000001,UK,11/1/23,4/1/23,668,649,682
E14000776,Lancaster and Fleetwood,E15000002,North West,K02000001,UK,11/1/23,4/1/23,645,649,682
E14000785,Leigh,E15000002,North West,K02000001,UK,11/1/23,4/1/23,622,649,682
E14000793,"Liverpool, Riverside",E15000002,North West,K02000001,UK,11/1/23,4/1/23,636,649,682
E14000794,"Liverpool, Walton",E15000002,North West,K02000001,UK,11/1/23,4/1/23,559,649,682
E14000795,"Liverpool, Wavertree",E15000002,North West,K02000001,UK,11/1/23,4/1/23,666,649,682
E14000796,"Liverpool, West Derby",E15000002,North West,K02000001,UK,11/1/23,4/1/23,616,649,682
E14000802,Macclesfield,E15000002,North West,K02000001,UK,11/1/23,4/1/23,673,649,682
E14000805,Makerfield,E15000002,North West,K02000001,UK,11/1/23,4/1/23,625,649,682
E14000807,Manchester Central,E15000002,North West,K02000001,UK,11/1/23,4/1/23,649,649,682
E14000808,"Manchester, Gorton",E15000002,North West,K02000001,UK,11/1/23,4/1/23,639,649,682
E14000809,"Manchester, Withington",E15000002,North West,K02000001,UK,11/1/23,4/1/23,718,649,682
E14000825,Morecambe and Lunesdale,E15000002,North West,K02000001,UK,11/1/23,4/1/23,590,649,682
E14000870,Oldham East and Saddleworth,E15000002,North West,K02000001,UK,11/1/23,4/1/23,644,649,682
E14000871,Oldham West and Royton,E15000002,North West,K02000001,UK,11/1/23,4/1/23,575,649,682
E14000875,Pendle,E15000002,North West,K02000001,UK,11/1/23,4/1/23,537,649,682
E14000877,Penrith and The Border,E15000002,North West,K02000001,UK,11/1/23,4/1/23,719,649,682
E14000885,Preston,E15000002,North West,K02000001,UK,11/1/23,4/1/23,565,649,682
E14000894,Ribble Valley,E15000002,North West,K02000001,UK,11/1/23,4/1/23,664,649,682
E14000897,Rochdale,E15000002,North West,K02000001,UK,11/1/23,4/1/23,608,649,682
E14000902,Rossendale and Darwen,E15000002,North West,K02000001,UK,11/1/23,4/1/23,613,649,682
E14000911,Salford and Eccles,E15000002,North West,K02000001,UK,11/1/23,4/1/23,624,649,682
E14000916,Sefton Central,E15000002,North West,K02000001,UK,11/1/23,4/1/23,720,649,682
E14000943,South Ribble,E15000002,North West,K02000001,UK,11/1/23,4/1/23,654,649,682
E14000958,Southport,E15000002,North West,K02000001,UK,11/1/23,4/1/23,697,649,682
E14000962,St Helens North,E15000002,North West,K02000001,UK,11/1/23,4/1/23,649,649,682
E14000963,St Helens South and Whiston,E15000002,North West,K02000001,UK,11/1/23,4/1/23,674,649,682
E14000967,Stalybridge and Hyde,E15000002,North West,K02000001,UK,11/1/23,4/1/23,613,649,682
E14000969,Stockport,E15000002,North West,K02000001,UK,11/1/23,4/1/23,714,649,682
E14000979,Stretford and Urmston,E15000002,North West,K02000001,UK,11/1/23,4/1/23,660,649,682
E14000987,Tatton,E15000002,North West,K02000001,UK,11/1/23,4/1/23,643,649,682
E14001010,Wallasey,E15000002,North West,K02000001,UK,11/1/23,4/1/23,622,649,682
E14001017,Warrington North,E15000002,North West,K02000001,UK,11/1/23,4/1/23,648,649,682
E14001018,Warrington South,E15000002,North West,K02000001,UK,11/1/23,4/1/23,728,649,682
E14001024,Weaver Vale,E15000002,North West,K02000001,UK,11/1/23,4/1/23,675,649,682
E14001033,West Lancashire,E15000002,North West,K02000001,UK,11/1/23,4/1/23,657,649,682
E14001037,Westmorland and Lonsdale,E15000002,North West,K02000001,UK,11/1/23,4/1/23,663,649,682
E14001039,Wigan,E15000002,North West,K02000001,UK,11/1/23,4/1/23,587,649,682
E14001043,Wirral South,E15000002,North West,K02000001,UK,11/1/23,4/1/23,683,649,682
E14001044,Wirral West,E15000002,North West,K02000001,UK,11/1/23,4/1/23,811,649,682
E14001053,Workington,E15000002,North West,K02000001,UK,11/1/23,4/1/23,735,649,682
E14001054,Worsley and Eccles South,E15000002,North West,K02000001,UK,11/1/23,4/1/23,593,649,682
E14001057,Wyre and Preston North,E15000002,North West,K02000001,UK,11/1/23,4/1/23,737,649,682
E14001059,Wythenshawe and Sale East,E15000002,North West,K02000001,UK,11/1/23,4/1/23,591,649,682
E14000541,Barnsley Central,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,582,632,682
E14000542,Barnsley East,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,643,632,682
E14000548,Batley and Spen,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,651,632,682
E14000556,Beverley and Holderness,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,678,632,682
E14000587,Bradford East,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,554,632,682
E14000588,Bradford South,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,597,632,682
E14000589,Bradford West,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,556,632,682
E14000596,Brigg and Goole,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,696,632,682
E14000614,Calder Valley,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,664,632,682
E14000643,Cleethorpes,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,679,632,682
E14000645,Colne Valley,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,641,632,682
E14000666,Dewsbury,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,587,632,682
E14000667,Don Valley,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,641,632,682
E14000668,Doncaster Central,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,597,632,682
E14000669,Doncaster North,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,635,632,682
E14000683,East Yorkshire,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,617,632,682
E14000689,Elmet and Rothwell,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,796,632,682
E14000716,Great Grimsby,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,595,632,682
E14000723,Halifax,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,600,632,682
E14000724,Haltemprice and Howden,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,695,632,682
E14000730,Harrogate and Knaresborough,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,684,632,682
E14000740,Hemsworth,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,608,632,682
E14000756,Huddersfield,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,593,632,682
E14000766,Keighley,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,695,632,682
E14000771,Kingston upon Hull East,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,579,632,682
E14000772,Kingston upon Hull North,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,567,632,682
E14000773,Kingston upon Hull West and Hessle,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,578,632,682
E14000777,Leeds Central,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,575,632,682
E14000778,Leeds East,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,604,632,682
E14000779,Leeds North East,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,714,632,682
E14000780,Leeds North West,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,737,632,682
E14000781,Leeds West,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,576,632,682
E14000826,Morley and Outwood,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,727,632,682
E14000836,"Normanton, Pontefract and Castleford",E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,611,632,682
E14000876,Penistone and Stocksbridge,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,711,632,682
E14000886,Pudsey,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,696,632,682
E14000895,Richmond (Yorks),E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,614,632,682
E14000903,Rother Valley,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,592,632,682
E14000904,Rotherham,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,596,632,682
E14000913,Scarborough and Whitby,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,580,632,682
E14000914,Scunthorpe,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,609,632,682
E14000917,Selby and Ainsty,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,670,632,682
E14000919,Sheffield Central,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,643,632,682
E14000920,Sheffield South East,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,628,632,682
E14000921,"Sheffield, Brightside and Hillsborough",E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,564,632,682
E14000922,"Sheffield, Hallam",E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,798,632,682
E14000923,"Sheffield, Heeley",E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,652,632,682
E14000925,Shipley,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,664,632,682
E14000928,Skipton and Ripon,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,648,632,682
E14000993,Thirsk and Malton,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,605,632,682
E14001009,Wakefield,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,605,632,682
E14001028,Wentworth and Dearne,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,606,632,682
E14001061,York Central,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,629,632,682
E14001062,York Outer,E15000003,Yorkshire and The Humber,K02000001,UK,11/1/23,4/1/23,667,632,682
E14000533,Amber Valley,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,665,640,682
E14000535,Ashfield,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,588,640,682
E14000546,Bassetlaw,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,604,640,682
E14000577,Bolsover,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,561,640,682
E14000582,Boston and Skegness,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,580,640,682
E14000583,Bosworth,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,653,640,682
E14000607,Broxtowe,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,668,640,682
E14000625,Charnwood,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,698,640,682
E14000632,Chesterfield,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,622,640,682
E14000648,Corby,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,634,640,682
E14000660,Daventry,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,674,640,682
E14000662,Derby North,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,641,640,682
E14000663,Derby South,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,622,640,682
E14000664,Derbyshire Dales,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,739,640,682
E14000695,Erewash,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,660,640,682
E14000707,Gainsborough,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,640,640,682
E14000710,Gedling,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,644,640,682
E14000714,Grantham and Stamford,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,655,640,682
E14000728,Harborough,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,695,640,682
E14000748,High Peak,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,646,640,682
E14000769,Kettering,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,671,640,682
E14000782,Leicester East,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,500,640,682
E14000783,Leicester South,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,606,640,682
E14000784,Leicester West,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,539,640,682
E14000792,Lincoln,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,627,640,682
E14000797,Loughborough,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,661,640,682
E14000798,Louth and Horncastle,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,575,640,682
E14000810,Mansfield,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,596,640,682
E14000814,Mid Derbyshire,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,707,640,682
E14000829,Newark,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,716,640,682
E14000843,North East Derbyshire,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,631,640,682
E14000858,North West Leicestershire,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,690,640,682
E14000861,Northampton North,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,609,640,682
E14000862,Northampton South,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,600,640,682
E14000865,Nottingham East,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,549,640,682
E14000866,Nottingham North,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,517,640,682
E14000867,Nottingham South,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,605,640,682
E14000908,Rushcliffe,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,767,640,682
E14000909,Rutland and Melton,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,675,640,682
E14000924,Sherwood,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,672,640,682
E14000929,Sleaford and North Hykeham,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,671,640,682
E14000935,South Derbyshire,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,707,640,682
E14000939,South Holland and The Deepings,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,640,640,682
E14000940,South Leicestershire,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,683,640,682
E14000942,South Northamptonshire,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,779,640,682
E14001025,Wellingborough,E15000004,East Midlands,K02000001,UK,11/1/23,4/1/23,621,640,682
E14000531,Aldridge-Brownhills,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,642,652,682
E14000560,"Birmingham, Edgbaston",E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,675,652,682
E14000561,"Birmingham, Erdington",E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,573,652,682
E14000562,"Birmingham, Hall Green",E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,616,652,682
E14000563,"Birmingham, Hodge Hill",E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,539,652,682
E14000564,"Birmingham, Ladywood",E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,630,652,682
E14000565,"Birmingham, Northfield",E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,611,652,682
E14000566,"Birmingham, Perry Barr",E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,594,652,682
E14000567,"Birmingham, Selly Oak",E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,665,652,682
E14000568,"Birmingham, Yardley",E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,637,652,682
E14000605,Bromsgrove,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,767,652,682
E14000610,Burton,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,668,652,682
E14000618,Cannock Chase,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,632,652,682
E14000649,Coventry North East,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,661,652,682
E14000650,Coventry North West,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,738,652,682
E14000651,Coventry South,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,701,652,682
E14000671,Dudley North,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,605,652,682
E14000672,Dudley South,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,645,652,682
E14000722,Halesowen and Rowley Regis,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,627,652,682
E14000743,Hereford and South Herefordshire,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,621,652,682
E14000767,Kenilworth and Southam,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,800,652,682
E14000791,Lichfield,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,773,652,682
E14000799,Ludlow,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,665,652,682
E14000812,Meriden,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,758,652,682
E14000818,Mid Worcestershire,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,633,652,682
E14000834,Newcastle-under-Lyme,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,618,652,682
E14000847,North Herefordshire,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,610,652,682
E14000849,North Shropshire,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,666,652,682
E14000854,North Warwickshire,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,633,652,682
E14000868,Nuneaton,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,609,652,682
E14000892,Redditch,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,615,652,682
E14000905,Rugby,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,689,652,682
E14000926,Shrewsbury and Atcham,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,629,652,682
E14000931,Solihull,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,739,652,682
E14000945,South Staffordshire,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,732,652,682
E14000965,Stafford,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,678,652,682
E14000966,Staffordshire Moorlands,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,720,652,682
E14000972,Stoke-on-Trent Central,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,595,652,682
E14000973,Stoke-on-Trent North,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,585,652,682
E14000974,Stoke-on-Trent South,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,583,652,682
E14000975,Stone,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,763,652,682
E14000976,Stourbridge,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,612,652,682
E14000977,Stratford-on-Avon,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,728,652,682
E14000985,Sutton Coldfield,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,721,652,682
E14000986,Tamworth,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,671,652,682
E14000989,Telford,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,631,652,682
E14000992,The Wrekin,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,712,652,682
E14001011,Walsall North,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,580,652,682
E14001012,Walsall South,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,637,652,682
E14001016,Warley,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,563,652,682
E14001019,Warwick and Leamington,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,793,652,682
E14001029,West Bromwich East,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,645,652,682
E14001030,West Bromwich West,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,614,652,682
E14001035,West Worcestershire,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,678,652,682
E14001049,Wolverhampton North East,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,575,652,682
E14001050,Wolverhampton South East,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,564,652,682
E14001051,Wolverhampton South West,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,690,652,682
E14001052,Worcester,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,681,652,682
E14001058,Wyre Forest,E15000005,West Midlands,K02000001,UK,11/1/23,4/1/23,594,652,682
E14000544,Basildon and Billericay,E15000006,East of England,K02000001,UK,11/1/23,4/1/23,667,706,682
E14000552,Bedford,E15000006,East of England,K02000001,UK,11/1/23,4/1/23,689,706,682
E14000590,Braintree,E15000006,East of England,K02000001,UK,11/1/23,4/1/23,675,706,682
E14000594,Brentwood and Ongar,E15000006,East of England,K02000001,UK,11/1/23,4/1/23,899,706,682
E14000603,Broadland,E15000006,East of England,K02000001,UK,11/1/23,4/1/23,683,706,682
E14000606,Broxbourne,E15000006,East of England,K02000001,UK,11/1/23,4/1/23,763,706,682
E14000613,Bury St Edmunds,E15000006,East of England,K02000001,UK,11/1/23,4/1/23,637,706,682
E14000617,Cambridge,E15000006,East of England,K02000001,UK,11/1/23,4/1/23,779,706,682
E14000622,Castle Point,E15000006,East of England,K02000001,UK,11/1/23,4/1/23,681,706,682
E14000624,Central Suffolk and North Ipswich,E15000006,East of England,K02000001,UK,11/1/23,4/1/23,714,706,682
E14000628,Chelmsford,E15000006,East of England,K02000001,UK,11/1/23,4/1/23,683,706,682
E14000642,Clacton,E15000006,East of England,K02000001,UK,11/1/23,4/1/23,593,706,682
E14000644,Colchester,E15000006,East of England,K02000001,UK,11/1/23,4/1/23,699,706,682
